代码,名称,涨幅%,现价,涨跌,涨速%,主力净量,总手,换手%,量比,所属行业,振幅%,现手,开盘,昨收,最高,最低,买价,卖价,市盈(动),市净率,买量,卖量,委比%,总金额,均笔额,笔数,手/笔,外盘,内盘,总市值,流通市值,贡献度
881101,种植业与林业,-4.36,2937.773,-134.028,-0.11,-1.25,334328930,--,1.79,--,6.01,1963750--,3073.741,3071.801,3080.208,2895.738,--,--,--,--,--,--,--,3293748200,19441.09,169422,1973,--,--,1.61223E+11,--,--
881134,食品加工制造,-4.39,3677.033,-168.918,0.03,-1.9,677064840,--,1.75,--,6.27,3192210--,3861.132,3845.951,3865.08,3623.999,--,--,--,--,--,--,--,9767568200,20563.09,475005,1425,--,--,5.75089E+11,--,--
881137,造纸,-4.43,1618.618,-74.98,0.03,-2.46,515615020,--,1.6,--,6.85,2551570--,1692.828,1693.598,1702.528,1586.593,--,--,--,--,--,--,--,4181804900,17696.72,236304,2182,--,--,1.58767E+11,--,--
881102,养殖业,-4.45,3234.939,-150.736,-0.02,-4.51,466829770,--,1.71,--,6.47,264820--,3386.598,3385.675,3392.152,3173.261,--,--,--,--,--,--,--,4935575400,16973.86,290775,1605,--,--,3.72698E+11,--,--
881158,零售,-4.51,1659.88,-78.354,-0.06,-2.44,1239660460,--,1.5,--,5.65,6114450--,1737.191,1738.234,1739.01,1640.813,--,--,--,--,--,--,--,13241033400,17862.05,741294,1672,--,--,7.17552E+11,--,--
881131,白色家电,-4.62,3582.732,-173.365,-0.04,-1.93,611327130,--,1.41,--,6.19,19210--,3756.524,3756.097,3758.935,3526.558,--,--,--,--,--,--,--,9615640800,20539.92,468144,1306,--,--,6.60922E+11,--,--
881147,环保工程,-4.62,4608.835,-223.242,-0.05,-2.73,372413500,--,2.02,--,5.92,104000--,4846.372,4832.077,4846.767,4560.514,--,--,--,--,--,--,--,5370852800,22696.88,236634,1574,--,--,2.97802E+11,--,--
881115,建筑材料,-4.63,3366.15,-163.292,-0.04,-2.48,1080331970,--,1.63,--,6.33,7333720--,3534.736,3529.442,3539.755,3316.186,--,--,--,--,--,--,--,12084391900,17703.5,682599,1583,--,--,5.04505E+11,--,--
881136,服装家纺,-4.75,3508.881,-174.891,0.03,-1.94,662702000,--,1.5,--,6.33,3464940--,3684.785,3683.772,3685.89,3452.747,--,--,--,--,--,--,--,9803984900,19444.63,504200,1314,--,--,4.5951E+11,--,--
881103,农产品加工,-4.82,3290.245,-166.521,-0.04,-3.68,691314190,--,1.6,--,6.47,6229330--,3452.692,3456.766,3453.667,3230.05,--,--,--,--,--,--,--,8847733600,18808.32,470416,1470,--,--,3.22094E+11,--,--
881166,国防军工,-4.86,1733.1,-88.46,0.01,-1.58,777300750,--,1.8,--,7.56,68700--,1825.321,1821.56,1839.946,1702.248,--,--,--,--,--,--,--,15471544000,21632.44,715201,1087,--,--,7.667E+11,--,--
881108,基础化学,-4.88,2452.919,-125.899,-0.01,-0.6,1029221130,--,1.8,--,6.07,34700--,2577.562,2578.818,2580.802,2424.353,--,--,--,--,--,--,--,8998572100,18561.18,484806,2123,--,--,9.69411E+11,--,--
881144,医疗器械服务,-4.92,9346.651,-483.15,-0.05,-2.47,368813490,--,1.45,--,6.55,236340--,9831.886,9829.801,9843.503,9199.8,--,--,--,--,--,--,--,7887871100,22425.8,351732,1049,--,--,3.96098E+11,--,--
881116,建筑装饰,-4.93,3884.726,-201.41,0.04,-0.48,2164865100,--,1.95,--,6.31,247400--,4088.312,4086.136,4090.481,3832.537,--,--,--,--,--,--,--,21914306000,18179.57,1205436,1796,--,--,1.531E+12,--,--
881135,纺织制造,-4.95,2465.756,-128.287,-0.13,-2.37,619390380,--,1.66,--,6.43,2699500--,2591.37,2594.043,2595.694,2428.81,--,--,--,--,--,--,--,7042573500,19038.97,369903,1674,--,--,2.03636E+11,--,--
881109,化学制品,-4.97,3916.653,-204.942,0.01,-3.62,2184495400,--,1.75,--,6.36,599200--,4124.279,4121.595,4129.192,3866.856,--,--,--,--,--,--,--,34949120000,20808.31,1679575,1301,--,--,1.21577E+12,--,--
881110,化工合成材料,-5.02,3737.319,-197.379,-0.01,-2.8,1092697170,--,1.5,--,6.18,7458700--,3935.864,3934.698,3936.558,3693.465,--,--,--,--,--,--,--,12634113800,18743.08,674068,1621,--,--,5.13653E+11,--,--
881128,交运设备服务,-5.05,1295.552,-68.905,0,-3.45,296844540,--,1.31,--,6.95,757900--,1362.41,1364.457,1363.229,1268.399,--,--,--,--,--,--,--,3001938600,17353.75,172985,1716,--,--,1.4306E+11,--,--
881138,包装印刷,-5.21,3416.282,-187.847,0.03,-3.38,442408520,--,1.37,--,6.96,114340--,3608.886,3604.129,3612.058,3361.067,--,--,--,--,--,--,--,6406120300,20720.18,309173,1431,--,--,2.20996E+11,--,--
881139,家用轻工,-5.22,4598.046,-253.047,-0.05,-3.18,532120090,--,1.58,--,6.46,5130860--,4853.011,4851.093,4854.365,4540.961,--,--,--,--,--,--,--,8800634500,20409.68,431199,1234,--,--,3.70492E+11,--,--
881113,有色冶炼加工,-5.26,1889.267,-104.911,-0.04,-5.85,3605366300,--,1.72,--,7.05,14430600--,1994.727,1994.178,1995.132,1854.528,--,--,--,--,--,--,--,41026174000,19661.2,2086657,1728,--,--,1.20238E+12,--,--
881152,物流,-5.27,5811.863,-323.109,0.02,-2.5,445233770,--,1.44,--,6.99,68000--,6130.678,6134.972,6146.95,5718.086,--,--,--,--,--,--,--,6137452800,19786.49,310184,1435,--,--,2.23584E+11,--,--
881118,专用设备,-5.3,3932.927,-220.068,0.02,-1.92,1646430600,--,1.96,--,6.41,455100--,4151.998,4152.995,4156.301,3890.106,--,--,--,--,--,--,--,19658611000,18825.36,1044262,1577,--,--,8.60805E+11,--,--
881159,贸易,-5.45,3587.573,-206.706,-0.05,-4.32,417383130,--,1.58,--,6.72,624450--,3799.063,3794.279,3807.806,3552.765,--,--,--,--,--,--,--,7337135100,23331.01,314480,1327,--,--,2.06929E+11,--,--
881111,化工新材料,-5.5,2961.14,-172.341,-0.04,-2.03,177541210,--,1.41,--,5.92,1230600--,3131.914,3133.481,3137.92,2952.522,--,--,--,--,--,--,--,2688294700,22126.79,121495,1461,--,--,1.30055E+11,--,--
881120,电气设备,-5.54,4145.368,-243.162,-0.03,-3.16,2972603400,--,1.42,--,6.65,902300--,4385.293,4388.53,4390.91,4099.258,--,--,--,--,--,--,--,40886743000,19323.09,2115953,1405,--,--,1.58053E+12,--,--
881130,计算机设备,-5.59,3950.127,-234.005,-0.03,-2.49,1173227720,--,2.19,--,7.04,29540--,4189.847,4184.132,4201.277,3906.551,--,--,--,--,--,--,--,21973823000,24193.61,908249,1292,--,--,7.43049E+11,--,--
881124,电子制造,-5.63,5689.216,-339.144,0,-4.86,572910890,--,1.35,--,7.16,5666580--,6021.327,6028.36,6029.527,5598.013,--,--,--,--,--,--,--,10507276900,20530.89,511779,1119,--,--,4.31034E+11,--,--
881126,汽车零部件,-5.66,3576.343,-214.521,-0.02,-3.41,1077644950,--,1.71,--,7.1,7688280--,3788.074,3790.864,3793.564,3524.569,--,--,--,--,--,--,--,19357204000,20797.47,930748,1158,--,--,8.02657E+11,--,--
881117,通用设备,-5.68,4163.995,-250.783,-0.07,-3.81,1650410300,--,1.45,--,6.85,580900--,4416.624,4414.778,4419.115,4116.8,--,--,--,--,--,--,--,24239531000,19500.25,1243037,1328,--,--,8.25679E+11,--,--
881121,半导体及元件,-5.7,3569.644,-215.849,0.04,-6.7,1261327940,--,1.65,--,7,8414960--,3788.219,3785.493,3802.225,3537.392,--,--,--,--,--,--,--,22166832000,22271.37,995306,1267,--,--,5.24176E+11,--,--
881164,传媒,-5.74,3997.402,-243.391,0.03,-3.62,1121137830,--,1.59,--,6.59,430800--,4241.247,4240.793,4241.626,3962.264,--,--,--,--,--,--,--,19494482000,22835.9,853677,1313,--,--,1.11242E+12,--,--
881162,通信服务,-5.78,3931.043,-241.055,-0.02,-0.87,875257230,--,1.71,--,6.68,498500--,4171.016,4172.098,4177.661,3898.903,--,--,--,--,--,--,--,18836162000,28965.48,650297,1346,--,--,6.73771E+11,--,--
881119,仪器仪表,-5.84,4159.149,-258.058,-0.08,-14.17,222721690,--,1.97,--,7.27,247160--,4426.739,4417.207,4442.315,4121.254,--,--,--,--,--,--,--,5028812500,21534.36,233525,954,--,--,1.34153E+11,--,--
881123,其他电子,-5.95,5115.355,-323.86,0,-4.57,456771950,--,1.33,--,7.29,212700--,5444.181,5439.215,5445.787,5049.178,--,--,--,--,--,--,--,9700692600,22913.52,423361,1079,--,--,2.6648E+11,--,--
881132,视听器材,-6.03,3462.988,-222.111,-0.02,-2.2,481988650,--,1.54,--,7.07,2179310--,3677.059,3685.099,3680.074,3419.437,--,--,--,--,--,--,--,3600395000,18262.49,197147,2445,--,--,1.67588E+11,--,--
881107,采掘服务,-6.18,1514.604,-99.799,0.04,-2.8,264688140,--,1.91,--,6.69,1138980--,1612.495,1614.403,1612.495,1504.477,--,--,--,--,--,--,--,2525411900,18246.54,138405,1912,--,--,1.9609E+11,--,--
881129,通信设备,-6.24,4346.155,-289.231,-0.07,-6.14,1427596600,--,1.26,--,7.37,8764200--,4627.542,4635.386,4639.759,4297.965,--,--,--,--,--,--,--,24731592000,23042.4,1073308,1330,--,--,6.84278E+11,--,--
881122,光学光电子,-6.59,3443.246,-243.001,0.01,-4.19,1886878800,--,1.83,--,7.44,556300--,3690.531,3686.247,3692.94,3418.8,--,--,--,--,--,--,--,21988872000,23488.29,936163,2016,--,--,5.76622E+11,--,--
881163,计算机应用,-7.32,11162.563,-881.457,-0.02,-7.33,2029468200,--,1.54,--,7.68,530300--,12039.727,12044.02,12044.847,11119.582,--,--,--,--,--,--,--,48016898000,24750.54,1940034,1046,--,--,1.31641E+12,--,--
881114,新材料,-7.7,4333.021,-361.476,-0.1,-12.34,810262950,--,1.59,--,8.22,4791690--,4689.589,4694.497,4689.589,4303.787,--,--,--,--,--,--,--,11144713300,18692.53,596212,1359,--,--,2.20712E+11,--,--
